構造・用途,細目,骨格材の肉厚,耐用年数
木造・合成樹脂造のもの,事務所用のもの,,24
木造・合成樹脂造のもの,店舗用・住宅用のもの,,22
木造・合成樹脂造のもの,飲食店用のもの,,20
木造・合成樹脂造のもの,旅館用・ホテル用・病院用・車庫用のもの,,17
木造・合成樹脂造のもの,公衆浴場用のもの,,12
木造・合成樹脂造のもの,工場用・倉庫用のもの（一般用）,,15
木骨・モルタル造のもの,事務所用のもの,,22
木骨・モルタル造のもの,店舗用・住宅用のもの,,20
木骨・モルタル造のもの,飲食店用のもの,,19
木骨・モルタル造のもの,旅館用・ホテル用・病院用・車庫用のもの,,15
木骨・モルタル造のもの,公衆浴場用のもの,,11
木骨・モルタル造のもの,工場用・倉庫用のもの（一般用）,,14
鉄骨鉄筋コンクリート造・鉄筋コンクリート造のもの,事務所用のもの,,50
鉄骨鉄筋コンクリート造・鉄筋コンクリート造のもの,住宅用のもの,,47
鉄骨鉄筋コンクリート造・鉄筋コンクリート造のもの,飲食店用のもの延面積のうちに占める木造内装部分の面積が30％を超えるもの,,34
鉄骨鉄筋コンクリート造・鉄筋コンクリート造のもの,飲食店用のその他のもの,,41
鉄骨鉄筋コンクリート造・鉄筋コンクリート造のもの,旅館用・ホテル用のもの延面積のうちに占める木造内装部分の面積が30％を超えるもの,,31
鉄骨鉄筋コンクリート造・鉄筋コンクリート造のもの,旅館用・ホテル用のその他のもの,,39
鉄骨鉄筋コンクリート造・鉄筋コンクリート造のもの,店舗用・病院用のもの,,39
鉄骨鉄筋コンクリート造・鉄筋コンクリート造のもの,車庫用のもの,,38
鉄骨鉄筋コンクリート造・鉄筋コンクリート造のもの,公衆浴場用のもの,,31
鉄骨鉄筋コンクリート造・鉄筋コンクリート造のもの,工場用・倉庫用のもの（一般用）,,38
れんが造・石造・ブロック造のもの,事務所用のもの,,41
れんが造・石造・ブロック造のもの,店舗用・住宅用・飲食店用のもの,,38
れんが造・石造・ブロック造のもの,旅館用・ホテル用・病院用のもの,,36
れんが造・石造・ブロック造のもの,車庫用のもの,,34
れんが造・石造・ブロック造のもの,公衆浴場用のもの,,30
れんが造・石造・ブロック造のもの,工場用・倉庫用のもの（一般用）,,34
金属造のもの,事務所用のもの,４㎜を超えるもの,38
金属造のもの,事務所用のもの,３㎜を超え、４㎜以下のもの,30
金属造のもの,事務所用のもの,３㎜以下のもの,22
金属造のもの,店舗用・住宅用のもの,４㎜を超えるもの,34
金属造のもの,店舗用・住宅用のもの,３㎜を超え、４㎜以下のもの,27
金属造のもの,店舗用・住宅用のもの,３㎜以下のもの,19
金属造のもの,飲食店用・車庫用のもの,５㎜を超えるもの,31
金属造のもの,飲食店用・車庫用のもの,３㎜を超え、５㎜以下のもの,25
金属造のもの,飲食店用・車庫用のもの,４㎜以下のもの,19
金属造のもの,旅館用・ホテル用・病院用のもの,４㎜を超えるもの,29
金属造のもの,旅館用・ホテル用・病院用のもの,３㎜を超え、４㎜以下のもの,24
金属造のもの,旅館用・ホテル用・病院用のもの,３㎜以下のもの,17
金属造のもの,公衆浴場用のもの,４㎜を超えるもの,27
金属造のもの,公衆浴場用のもの,３㎜を超え、４㎜以下のもの,19
金属造のもの,公衆浴場用のもの,３㎜以下のもの,15
金属造のもの,工場用・倉庫用のもの（一般用）,４㎜を超えるもの,31
金属造のもの,工場用・倉庫用のもの（一般用）,３㎜を超え、４㎜以下のもの,24
金属造のもの,工場用・倉庫用のもの（一般用）,３㎜以下のもの,17
